SoC_band,Variant,MAE,RMSE,N
0-20,Baseline,0.12362477473195614,0.14338701210191057,1132
0-20,Thermal,0.12144525487341154,0.14205976818012164,1132
0-20,RateHist,0.12209816894370792,0.14261473560301718,1132
0-20,Both,0.11991864908516332,0.14128023678843035,1132
20-60,Baseline,0.11671968749569041,0.14271460277594966,2856
20-60,Thermal,0.11485403730468999,0.14117703134922258,2856
20-60,RateHist,0.11602069523805686,0.14202202913190864,2856
20-60,Both,0.11415504504705645,0.14047687743478282,2856
60-90,Baseline,0.1462132063104308,0.18138111066643964,2157
60-90,Thermal,0.1458222484977723,0.1810536907515928,2157
60-90,RateHist,0.1458578337480595,0.18105233281007632,2157
60-90,Both,0.145466875935401,0.18072431724633187,2157
90-100,Baseline,0.1826224552448527,0.282881908335646,254
90-100,Thermal,0.1826224552448527,0.282881908335646,254
90-100,RateHist,0.1826224552448527,0.282881908335646,254
90-100,Both,0.1826224552448527,0.282881908335646,254
